customerNumber,customerName,phone,state,country,salesRepEmployeeNumber,amount,paymentDate,orderNumber
103,"Atelier graphique",40.32.2555,NULL,France,1370,6066.78,2004-10-19,10123
103,"Atelier graphique",40.32.2555,NULL,France,1370,6066.78,2004-10-19,10298
103,"Atelier graphique",40.32.2555,NULL,France,1370,6066.78,2004-10-19,10345
103,"Atelier graphique",40.32.2555,NULL,France,1370,14571.44,2003-06-05,10123
103,"Atelier graphique",40.32.2555,NULL,France,1370,14571.44,2003-06-05,10298
103,"Atelier graphique",40.32.2555,NULL,France,1370,14571.44,2003-06-05,10345
103,"Atelier graphique",40.32.2555,NULL,France,1370,1676.14,2004-12-18,10123
103,"Atelier graphique",40.32.2555,NULL,France,1370,1676.14,2004-12-18,10298
103,"Atelier graphique",40.32.2555,NULL,France,1370,1676.14,2004-12-18,10345
112,"Signal Gift Stores",7025551838,NV,USA,1166,14191.12,2004-12-17,10124
112,"Signal Gift Stores",7025551838,NV,USA,1166,14191.12,2004-12-17,10278
112,"Signal Gift Stores",7025551838,NV,USA,1166,14191.12,2004-12-17,10346
112,"Signal Gift Stores",7025551838,NV,USA,1166,32641.98,2003-06-06,10124
112,"Signal Gift Stores",7025551838,NV,USA,1166,32641.98,2003-06-06,10278
112,"Signal Gift Stores",7025551838,NV,USA,1166,32641.98,2003-06-06,10346
112,"Signal Gift Stores",7025551838,NV,USA,1166,33347.88,2004-08-20,10124
112,"Signal Gift Stores",7025551838,NV,USA,1166,33347.88,2004-08-20,10278
112,"Signal Gift Stores",7025551838,NV,USA,1166,33347.88,2004-08-20,10346
114,"Australian Collectors, Co.","03 9520 4555",Victoria,Australia,1611,45864.03,2003-05-20,10120
114,"Australian Collectors, Co.","03 9520 4555",Victoria,Australia,1611,45864.03,2003-05-20,10125
114,"Australian Collectors, Co.","03 9520 4555",Victoria,Australia,1611,45864.03,2003-05-20,10223
114,"Australian Collectors, Co.","03 9520 4555",Victoria,Australia,1611,45864.03,2003-05-20,10342
114,"Australian Collectors, Co.","03 9520 4555",Victoria,Australia,1611,45864.03,2003-05-20,10347
114,"Australian Collectors, Co.","03 9520 4555",Victoria,Australia,1611,82261.22,2004-12-15,10120
114,"Australian Collectors, Co.","03 9520 4555",Victoria,Australia,1611,82261.22,2004-12-15,10125
114,"Australian Collectors, Co.","03 9520 4555",Victoria,Australia,1611,82261.22,2004-12-15,10223
114,"Australian Collectors, Co.","03 9520 4555",Victoria,Australia,1611,82261.22,2004-12-15,10342
114,"Australian Collectors, Co.","03 9520 4555",Victoria,Australia,1611,82261.22,2004-12-15,10347
114,"Australian Collectors, Co.","03 9520 4555",Victoria,Australia,1611,7565.08,2003-05-31,10120
114,"Australian Collectors, Co.","03 9520 4555",Victoria,Australia,1611,7565.08,2003-05-31,10125
114,"Australian Collectors, Co.","03 9520 4555",Victoria,Australia,1611,7565.08,2003-05-31,10223
114,"Australian Collectors, Co.","03 9520 4555",Victoria,Australia,1611,7565.08,2003-05-31,10342
114,"Australian Collectors, Co.","03 9520 4555",Victoria,Australia,1611,7565.08,2003-05-31,10347
114,"Australian Collectors, Co.","03 9520 4555",Victoria,Australia,1611,44894.74,2004-03-10,10120
114,"Australian Collectors, Co.","03 9520 4555",Victoria,Australia,1611,44894.74,2004-03-10,10125
114,"Australian Collectors, Co.","03 9520 4555",Victoria,Australia,1611,44894.74,2004-03-10,10223
114,"Australian Collectors, Co.","03 9520 4555",Victoria,Australia,1611,44894.74,2004-03-10,10342
114,"Australian Collectors, Co.","03 9520 4555",Victoria,Australia,1611,44894.74,2004-03-10,10347
119,"La Rochelle Gifts",40.67.8555,NULL,France,1370,19501.82,2004-11-14,10275
119,"La Rochelle Gifts",40.67.8555,NULL,France,1370,19501.82,2004-11-14,10315
119,"La Rochelle Gifts",40.67.8555,NULL,France,1370,19501.82,2004-11-14,10375
119,"La Rochelle Gifts",40.67.8555,NULL,France,1370,19501.82,2004-11-14,10425
119,"La Rochelle Gifts",40.67.8555,NULL,France,1370,47924.19,2004-08-08,10275
119,"La Rochelle Gifts",40.67.8555,NULL,France,1370,47924.19,2004-08-08,10315
119,"La Rochelle Gifts",40.67.8555,NULL,France,1370,47924.19,2004-08-08,10375
119,"La Rochelle Gifts",40.67.8555,NULL,France,1370,47924.19,2004-08-08,10425
119,"La Rochelle Gifts",40.67.8555,NULL,France,1370,49523.67,2005-02-22,10275
119,"La Rochelle Gifts",40.67.8555,NULL,France,1370,49523.67,2005-02-22,10315
119,"La Rochelle Gifts",40.67.8555,NULL,France,1370,49523.67,2005-02-22,10375
119,"La Rochelle Gifts",40.67.8555,NULL,France,1370,49523.67,2005-02-22,10425
121,"Baane Mini Imports","07-98 9555",NULL,Norway,1504,50218.95,2003-02-16,10103
121,"Baane Mini Imports","07-98 9555",NULL,Norway,1504,50218.95,2003-02-16,10158
121,"Baane Mini Imports","07-98 9555",NULL,Norway,1504,50218.95,2003-02-16,10309
121,"Baane Mini Imports","07-98 9555",NULL,Norway,1504,50218.95,2003-02-16,10325
121,"Baane Mini Imports","07-98 9555",NULL,Norway,1504,1491.38,2003-10-28,10103
121,"Baane Mini Imports","07-98 9555",NULL,Norway,1504,1491.38,2003-10-28,10158
121,"Baane Mini Imports","07-98 9555",NULL,Norway,1504,1491.38,2003-10-28,10309
121,"Baane Mini Imports","07-98 9555",NULL,Norway,1504,1491.38,2003-10-28,10325
121,"Baane Mini Imports","07-98 9555",NULL,Norway,1504,17876.32,2004-11-04,10103
121,"Baane Mini Imports","07-98 9555",NULL,Norway,1504,17876.32,2004-11-04,10158
121,"Baane Mini Imports","07-98 9555",NULL,Norway,1504,17876.32,2004-11-04,10309
121,"Baane Mini Imports","07-98 9555",NULL,Norway,1504,17876.32,2004-11-04,10325
121,"Baane Mini Imports","07-98 9555",NULL,Norway,1504,34638.14,2004-11-28,10103
121,"Baane Mini Imports","07-98 9555",NULL,Norway,1504,34638.14,2004-11-28,10158
121,"Baane Mini Imports","07-98 9555",NULL,Norway,1504,34638.14,2004-11-28,10309
121,"Baane Mini Imports","07-98 9555",NULL,Norway,1504,34638.14,2004-11-28,10325
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,101244.59,2005-03-05,10113
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,101244.59,2005-03-05,10135
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,101244.59,2005-03-05,10142
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,101244.59,2005-03-05,10182
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,101244.59,2005-03-05,10229
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,101244.59,2005-03-05,10271
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,101244.59,2005-03-05,10282
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,101244.59,2005-03-05,10312
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,101244.59,2005-03-05,10335
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,101244.59,2005-03-05,10357
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,101244.59,2005-03-05,10368
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,101244.59,2005-03-05,10371
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,101244.59,2005-03-05,10382
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,101244.59,2005-03-05,10385
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,101244.59,2005-03-05,10390
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,101244.59,2005-03-05,10396
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,101244.59,2005-03-05,10421
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,85410.87,2004-08-28,10113
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,85410.87,2004-08-28,10135
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,85410.87,2004-08-28,10142
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,85410.87,2004-08-28,10182
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,85410.87,2004-08-28,10229
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,85410.87,2004-08-28,10271
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,85410.87,2004-08-28,10282
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,85410.87,2004-08-28,10312
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,85410.87,2004-08-28,10335
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,85410.87,2004-08-28,10357
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,85410.87,2004-08-28,10368
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,85410.87,2004-08-28,10371
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,85410.87,2004-08-28,10382
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,85410.87,2004-08-28,10385
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,85410.87,2004-08-28,10390
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,85410.87,2004-08-28,10396
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,85410.87,2004-08-28,10421
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,11044.30,2003-04-11,10113
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,11044.30,2003-04-11,10135
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,11044.30,2003-04-11,10142
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,11044.30,2003-04-11,10182
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,11044.30,2003-04-11,10229
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,11044.30,2003-04-11,10271
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,11044.30,2003-04-11,10282
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,11044.30,2003-04-11,10312
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,11044.30,2003-04-11,10335
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,11044.30,2003-04-11,10357
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,11044.30,2003-04-11,10368
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,11044.30,2003-04-11,10371
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,11044.30,2003-04-11,10382
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,11044.30,2003-04-11,10385
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,11044.30,2003-04-11,10390
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,11044.30,2003-04-11,10396
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,11044.30,2003-04-11,10421
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,83598.04,2005-04-16,10113
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,83598.04,2005-04-16,10135
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,83598.04,2005-04-16,10142
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,83598.04,2005-04-16,10182
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,83598.04,2005-04-16,10229
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,83598.04,2005-04-16,10271
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,83598.04,2005-04-16,10282
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,83598.04,2005-04-16,10312
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,83598.04,2005-04-16,10335
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,83598.04,2005-04-16,10357
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,83598.04,2005-04-16,10368
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,83598.04,2005-04-16,10371
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,83598.04,2005-04-16,10382
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,83598.04,2005-04-16,10385
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,83598.04,2005-04-16,10390
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,83598.04,2005-04-16,10396
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,83598.04,2005-04-16,10421
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,47142.70,2004-12-27,10113
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,47142.70,2004-12-27,10135
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,47142.70,2004-12-27,10142
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,47142.70,2004-12-27,10182
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,47142.70,2004-12-27,10229
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,47142.70,2004-12-27,10271
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,47142.70,2004-12-27,10282
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,47142.70,2004-12-27,10312
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,47142.70,2004-12-27,10335
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,47142.70,2004-12-27,10357
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,47142.70,2004-12-27,10368
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,47142.70,2004-12-27,10371
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,47142.70,2004-12-27,10382
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,47142.70,2004-12-27,10385
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,47142.70,2004-12-27,10390
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,47142.70,2004-12-27,10396
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,47142.70,2004-12-27,10421
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,55639.66,2004-11-02,10113
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,55639.66,2004-11-02,10135
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,55639.66,2004-11-02,10142
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,55639.66,2004-11-02,10182
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,55639.66,2004-11-02,10229
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,55639.66,2004-11-02,10271
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,55639.66,2004-11-02,10282
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,55639.66,2004-11-02,10312
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,55639.66,2004-11-02,10335
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,55639.66,2004-11-02,10357
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,55639.66,2004-11-02,10368
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,55639.66,2004-11-02,10371
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,55639.66,2004-11-02,10382
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,55639.66,2004-11-02,10385
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,55639.66,2004-11-02,10390
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,55639.66,2004-11-02,10396
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,55639.66,2004-11-02,10421
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,111654.40,2003-08-15,10113
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,111654.40,2003-08-15,10135
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,111654.40,2003-08-15,10142
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,111654.40,2003-08-15,10182
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,111654.40,2003-08-15,10229
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,111654.40,2003-08-15,10271
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,111654.40,2003-08-15,10282
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,111654.40,2003-08-15,10312
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,111654.40,2003-08-15,10335
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,111654.40,2003-08-15,10357
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,111654.40,2003-08-15,10368
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,111654.40,2003-08-15,10371
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,111654.40,2003-08-15,10382
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,111654.40,2003-08-15,10385
124,"Mini Gifts Distributors Ltd.",4155551450,CA,USA,1165,111654.40,2003-08-15,10390
