orderNumber,productCode,productCode,quantityOrdered,productName,productLine,quantityInStock
10100,S18_1749,S18_1749,30,"1917 Grand Touring Sedan","Vintage Cars",2724
10100,S18_2248,S18_2248,50,"1911 Ford Town Car","Vintage Cars",540
10100,S18_4409,S18_4409,22,"1932 Alfa Romeo 8C2300 Spider Sport","Vintage Cars",6553
10100,S24_3969,S24_3969,49,"1936 Mercedes Benz 500k Roadster","Vintage Cars",2081
10101,S18_2325,S18_2325,25,"1932 Model A Ford J-Coupe","Vintage Cars",9354
10101,S18_2795,S18_2795,26,"1928 Mercedes-Benz SSK","Vintage Cars",548
10101,S24_1937,S24_1937,45,"1939 Chevrolet Deluxe Coupe","Vintage Cars",7332
10101,S24_2022,S24_2022,46,"1938 Cadillac V-16 Presidential Limousine","Vintage Cars",2847
10102,S18_1342,S18_1342,39,"1937 Lincoln Berline","Vintage Cars",8693
10102,S18_1367,S18_1367,41,"1936 Mercedes-Benz 500K Special Roadster","Vintage Cars",8635
10103,S10_1949,S10_1949,26,"1952 Alpine Renault 1300","Classic Cars",7305
10103,S10_4962,S10_4962,42,"1962 LanciaA Delta 16V","Classic Cars",6791
10103,S12_1666,S12_1666,27,"1958 Setra Bus","Trucks and Buses",1579
10103,S18_1097,S18_1097,35,"1940 Ford Pickup Truck","Trucks and Buses",2613
10103,S18_2432,S18_2432,22,"1926 Ford Fire Engine","Trucks and Buses",2018
10103,S18_2949,S18_2949,27,"1913 Ford Model T Speedster","Vintage Cars",4189
10103,S18_2957,S18_2957,35,"1934 Ford V8 Coupe","Vintage Cars",5649
10103,S18_3136,S18_3136,25,"18th Century Vintage Horse Carriage","Vintage Cars",5992
10103,S18_3320,S18_3320,46,"1917 Maxwell Touring Car","Vintage Cars",7913
10103,S18_4600,S18_4600,36,"1940s Ford truck","Trucks and Buses",3128
10103,S18_4668,S18_4668,41,"1939 Cadillac Limousine","Vintage Cars",6645
10103,S24_2300,S24_2300,36,"1962 Volkswagen Microbus","Trucks and Buses",2327
10103,S24_4258,S24_4258,25,"1936 Chrysler Airflow","Vintage Cars",4710
10103,S32_1268,S32_1268,31,"1980’s GM Manhattan Express","Trucks and Buses",5099
10103,S32_3522,S32_3522,45,"1996 Peterbilt 379 Stake Bed with Outrigger","Trucks and Buses",814
10103,S700_2824,S700_2824,42,"1982 Camaro Z28","Classic Cars",6934
10104,S12_3148,S12_3148,34,"1969 Corvair Monza","Classic Cars",6906
10104,S12_4473,S12_4473,41,"1957 Chevy Pickup","Trucks and Buses",6125
10104,S18_2238,S18_2238,24,"1998 Chrysler Plymouth Prowler","Classic Cars",4724
10104,S18_2319,S18_2319,29,"1964 Mercedes Tour Bus","Trucks and Buses",8258
10104,S18_3232,S18_3232,23,"1992 Ferrari 360 Spider red","Classic Cars",8347
10104,S18_4027,S18_4027,38,"1970 Triumph Spitfire","Classic Cars",5545
10104,S24_1444,S24_1444,35,"1970 Dodge Coronet","Classic Cars",4074
10104,S24_2840,S24_2840,44,"1958 Chevy Corvette Limited Edition","Classic Cars",2542
10104,S24_4048,S24_4048,26,"1992 Porsche Cayenne Turbo Silver","Classic Cars",6582
10104,S32_2509,S32_2509,35,"1954 Greyhound Scenicruiser","Trucks and Buses",2874
10104,S32_3207,S32_3207,49,"1950's Chicago Surface Lines Streetcar",Trains,8601
10104,S50_1392,S50_1392,33,"Diamond T620 Semi-Skirted Tanker","Trucks and Buses",1016
